isbn	title	author	rating_count	rating_calc	rating_eb
006443205X	A Hole is to Dig	Ruth Krauss, Maurice Sendak (Illustrator)	2289	4.229794670161643	4.2263063130603715
0064432084	The Christmas Cat	Efner Tudor Holmes, Tasha Tudor (Illustrator)	225	4.071111111111111	4.070887337515826
0064432114	The Mountains of Tibet	Mordicai Gerstein	315	4.412698412698413	4.364889401469795
0064432181	How to Dig a Hole to the Other Side of the World	Faith McNulty, Marc Simont (Illustrations)	455	4.191208791208791	4.178970848773415
0064432270	The Important Book	Margaret Wise Brown, Leonard Weisgard (Illustrator)	2254	4.108251996450754	4.10740260061773
0064432513	One Was Johnny: A Counting Book	Maurice Sendak	1357	4.203389830508475	4.19854987568862
0064432521	Pierre: A Cautionary Tale in Five Chapters and a Prologue	Maurice Sendak	9236	4.283347769597229	4.2821744211431465
006443253X	Chicken Soup with Rice: A Book of Months	Maurice Sendak	28998	4.251362162907787	4.251043253748971
0064432548	Alligators All Around	Maurice Sendak	2300	4.076521739130435	4.076377974413595
0064432696	black is brown is tan	Arnold Adoff, Emily Arnold McCully (Illustrations)	756	4.134920634920635	4.130807645242198
0064432777	Africa Dream	Eloise Greenfield, Carole M. Byard (Illustrator)	81	3.888888888888889	3.958869444722535
0064432793	The Egyptian Cinderella	Shirley Climo, Ruth Heller (Illustrator)	1740	3.939655172413793	3.943367715165169
0064432807	I Want to Be an Astronaut	Byron Barton	488	3.4508196721311477	3.509451360590445
0064433064	The Tub People	Pam Conrad, Richard Egielski (Illustrations)	742	3.92722371967655	3.9364085019103014
0064433226	The Listening Walk	Paul Showers, Aliki	459	4.065359477124183	4.065814060045584
0064433390	A Day with Wilbur Robinson	William Joyce (Author)	842	4.032066508313539	4.034229365456197
006443348X	Leo the Late Bloomer	Robert Kraus, José Aruego (Illustrator)	10098	4.170231729055258	4.169727040415723
0064433692	Christmas Tree Memories	Aliki	57	3.8421052631578947	3.949733747648855
0064433919	The Story of May	Mordicai Gerstein	82	4.548780487804878	4.365033935149967
0064433951	The Big Green Pocketbook	Candice Ransom (Author), Felicia Bond (Illustrations)	258	4.282945736434108	4.247752913680121
0064433978	The Korean Cinderella	Shirley Climo, Ruth Heller (Illustrator)	1022	3.823874755381605	3.8355798863594517
0064434508	The Grouchy Ladybug	Eric Carle	31104	4.109439300411522	4.109374511033218
0064434516	Bedtime for Frances	Russell Hoban, Garth Williams (Illustrator)	25766	4.151401071179073	4.151239907834121
0064434664	A Pussycat's Christmas	Margaret Wise Brown, Anne Mortimer (Illustrator)	531	4.114877589453861	4.110932662726228
0064434729	When the Wind Stops	Charlotte Zolotow, Stefano Vitale (Illustrator)	294	4.034013605442177	4.039323353042922
0064434877	Christmas in the Big Woods	Laura Ingalls Wilder, Renée Graef (Illustrator)	2253	4.205947625388371	4.20293315781511
