isbn	title	author	rating_eb	scaled_eb	scaled_norm
1250306795	Chicken Break!: A Counting Book	Cate Berry (Author), Charlotte Adler (Illustrator)	3.8950247439675185	2.8324526910959422	2.578543451535589
1250308984	Woke Baby	Mahogany L. Browne (Author), Theodore Taylor III (Illustrator)	3.7403714286537384	2.496633638538789	2.2533448646160297
1257052519	One Morning I Looked in the Mirror	Alexandra Maria Proca	4.119315837111665	3.3194853954634764	3.1640235334709903
1257141678	My Daddy Is in the Army	Sherri Williams (Author)	4.104964566012464	3.2883225959221534	3.1182575100795575
1302900056	Moon Girl and Devil Dinosaur, Vol. 1: BFF	Amy Reeder, Brandon Montclare, Natacha Bustos (Illustrator), Tamra Bonvillain (Colorist), VC's Travis Lanham (Letterer), Mark Paniccia (Editor), Emily Shaw (Editor)	3.892098379010291	2.826098290575147	2.570675245868831
1302902245	The Unbeatable Squirrel Girl Vol. 1	Ryan North (Author), Erica Henderson (Artist)	4.301123750308148	3.7142687923351234	3.686537071600875
1322022062	Alfred Ollivant's Bob, Son of Battle	Alfred Ollivant, Lydia Davis	3.958092477154126	2.9693999421954906	2.726592293198598
1328498050	When My Brother Gets Home	Tom Lichtenheld (Author)	4.005361640669006	3.0720416843044718	2.828219657647588
1328530825	Camp	Kayla Miller (Author)	4.059751867567215	3.1901463264730947	2.96795591850172
1328780961	The Undefeated	Kwame Alexander, Kadir Nelson (Illustrator)	4.6875724369645315	4.553415573971167	4.592191343123812
1328810151	The Unwanted: Stories of the Syrian Refugees	Don Brown	4.094423471998712	3.265433334237514	3.0833978004194
1328911128	Click	Kayla Miller (Author)	4.041635335796184	3.1508075219823835	2.918163654733924
1328967190	Hats Are Not for Cats!	Jacqueline K. Rayner	3.7879679933500716	2.5999863098272633	2.351560891360033
1328994716	Up On Bob	Mary Sullivan (Author)	4.16280047812353	3.413909306879563	3.295259572579166
1329736362	Take Me to the Zoo!	Dave Bench	4.1374803735867065	3.358928438871967	3.227913415660825
1329864727	Blacky Rinus	Nicole Chartrand	4.087769649141266	3.250985014889577	3.059836056513158
1338028367	I'll Wait, Mr. Panda	Steve Antony (Author)	3.9320923432957606	2.9129424372208303	2.66246893471369
1338029479	Sparks!	Ian Boothby, Nina Matsumoto (Illustrator)	4.1321146729081555	3.347277188366794	3.208073525069103
133804768X	Mr. Wolf's Class	Aron Nels Steinke	3.8471852047139117	2.7285724172439307	2.470642866909029
1338053140	Why Am I Me?	Paige Britt (Author), Selina Alko (Illustrations), Sean Qualls (Illustrations)	3.5755405562946643	2.138714719856151	1.916927468107327
133808951X	The Witch Boy	Molly Ostertag	4.201848730049733	3.498699904088972	3.4063876065855947
1338098969	Plankton Is Pushy	Jonathan Fenske	3.845098565360197	2.7240414231984995	2.465643053277633
1338112430	Old MacDonald Had a Farm	Gris Grimly	3.7989011808289854	2.623726975542377	2.372880400404754
1338112473	Misunderstood Shark	Ame Dyckman (Author), Scott Magoon (Author) (Illustrator)	3.933565136698403	2.916140506942674	2.666621840584628
1338118390	Bark in the Park!: Poems for Dog Lovers	Avery Corman, Hyewon Yum (Illustrations)	3.886577569948773	2.814110232869263	2.557470023605883
1338125877	The Three Little Kittens	Barbara McClintock (Author)	3.8516412678103946	2.738248452213887	2.4816571091165986
1338151835	I Love My Glam-Ma!	Samantha Berger (Author), Sujean Rim (Author) (Illustrator)	3.9414699803013815	2.9333053319189686	2.686990142788294
1338177362	We've Got the Whole World in Our Hands	Rafael López (Author)	4.09344210182459	3.2633023563052737	3.079850117479593
1338180614	Baby Monkey, Private Eye	Brian Selznick, David Serlin	3.9282597870194627	2.9046203044882275	2.653746031757567
