Taxon,DLC_ID,Hybrid,Sex,Name,Current_Resident,StudBook,DOB,Birth_Month,Estimated_DOB,Birth_Type,Birth_Institution,Litter_Size,Expected_Gestation,Estimated_Concep,Concep_Month,Dam_ID,Dam_Name,Dam_Taxon,Dam_DOB,Dam_AgeAtConcep_y,Sire_ID,Sire_Name,Sire_Taxon,Sire_DOB,Sire_AgeAtConcep_y,DOD,AgeAtDeath_y,AgeOfLiving_y,AgeLastVerified_y,AgeMax_LiveOrDead_y,N_known_offspring
ERUF,3585,N,M,RUFF,N,682,06May1978,5,,CB,DUKE PRIM,1,120,06Jan1978,1,519,RED CHILD,ERUF,04Mar1966,11.85,1525,CORLEY,ERUF,12Dec1972,5.07,,,,1.02,1.02,
VVV,3586,N,F,JUNO,N,139,08May1978,5,,CB,DUKE PRIM,3,98,30Jan1978,1,569,THALIA,VVV,01Oct1965,12.34,MULT3,,,,,17Mar2007,28.88,,,28.88,
VVV,3587,N,F,LEDA,N,140,08May1978,5,,CB,DUKE PRIM,3,98,30Jan1978,1,569,THALIA,VVV,01Oct1965,12.34,MULT3,,,,,,,,34.19,34.19,1
VAR,3588,S,M,PHOBOS,N,,04May1978,5,,CB,DUKE PRIM,3,98,26Jan1978,1,1578,NIKE,VAR,17May1974,3.70,3530,TELLUS,VRUB,17May1975,2.70,,,,16.67,16.67,
EUL,3589,S,M,NATHAN,N,689,13May1978,5,,CB,DUKE PRIM,2,120,13Jan1978,1,1572,LIMA,EUL,21Apr1974,3.73,MULT2,,,,,07Feb1985,6.75,,,6.75,
MZAZ,359,N,M,SOVE,N,145,21Apr1987,4,,CB,DUKE PRIM,2,90,21Jan1987,1,318,FANDRASA,MZAZ,25Aug1979,7.41,319,GAKA,MZAZ,25Aug1979,7.41,11Dec1998,11.65,,,11.65,
EUL,3590,S,M,SHOBAB,N,685,13May1978,5,,CB,DUKE PRIM,2,120,13Jan1978,1,1572,LIMA,EUL,21Apr1974,3.73,MULT2,,,,,,,,14.38,14.38,
EUL,3591,S,M,LOKI,N,686,17May1978,5,,CB,DUKE PRIM,1,120,17Jan1978,1,2559,EURY,EUL,27Apr1976,1.73,502,OEDIPUS,EFUL,17Feb1962,15.93,,,,5.02,5.02,
LCAT,3592,N,F,ZENOBIA,N,706,18May1978,5,,CB,DUKE PRIM,1,130,08Jan1978,1,585,CALPURNIA,LCAT,15Mar1971,6.82,1570,LENT,LCAT,19Apr1974,3.73,18Oct1992,14.43,,,14.43,3
LCAT,3593,N,F,RIMA-A,N,709,30May1978,5,,CB,DUKE PRIM,1,130,20Jan1978,1,1509,RIMA,LCAT,14Jan1972,6.02,2505,ERATO,LCAT,24Mar1975,2.83,05Jun1978,0.02,,,0.02,
EUL,3594,S,ND,SCARLETT II-C,N,691,06Apr1978,4,,CB,DUKE PRIM,1,120,07Dec1977,12,1533,SCARLETT II,EUL,10Mar1973,4.75,561,DEGAULLE,ECOL,10Apr1970,7.67,06Apr1978,0.00,,,0.00,
EUL,3595,S,F,TINA-B,N,692,05Jun1978,6,,CB,DUKE PRIM,1,120,05Feb1978,2,1556,TINA,ERUF,25Mar1974,3.87,1580,ARTHUR,EUL,23May1974,3.71,08Jun1978,0.01,,,0.01,
VVV,3596,N,M,SOL,N,92,13Apr1977,4,,CB,UNKNOWN,,98,05Jan1977,1,,,,,,,,,,,01Jan1979,1.72,,,1.72,
EALB,3597,N,M,LIBERTY,N,692,04Jul1978,7,,CB,DUKE PRIM,1,120,06Mar1978,3,567,ADAH,EALB,01Oct1968,9.43,553,DAVID,EALB,01Oct1963,14.44,02Sep1992,14.18,,,14.18,
ERUF,3598,N,M,REDTOP,N,428,15Mar1974,3,,CB,CENTERHIL,,120,15Nov1973,11,,,,,,,,,,,,,,14.48,14.48,9
ERUF,3599,N,F,SIENNA,N,471,01Mar1975,3,,CB,CENTERHIL,,120,01Nov1974,11,,,,,,,,,,,01Apr1982,7.09,,,7.09,4
