Taxon,DLC_ID,Hybrid,Sex,Name,Current_Resident,StudBook,DOB,Birth_Month,Estimated_DOB,Birth_Type,Birth_Institution,Litter_Size,Expected_Gestation,Estimated_Concep,Concep_Month,Dam_ID,Dam_Name,Dam_Taxon,Dam_DOB,Dam_AgeAtConcep_y,Sire_ID,Sire_Name,Sire_Taxon,Sire_DOB,Sire_AgeAtConcep_y,DOD,AgeAtDeath_y,AgeOfLiving_y,AgeLastVerified_y,AgeMax_LiveOrDead_y,N_known_offspring
PCOQ,7200,N,M,Wenceslaus the Idle,Y,290,24Jan2015,1,,CB,Duke Lemur Center,1,160,17Aug2014,8,6897,Rodelinda,PCOQ,06Aug2007,7.04,6827,Marcus Aurelius,PCOQ,16Feb2004,10.51,,,4.04,,4.04,
PCOQ,7201,N,F,Isabella,Y,291,25Jan2015,1,,CB,Duke Lemur Center,1,160,18Aug2014,8,6922,Pompeia Plotina,PCOQ,04Feb2009,5.54,6882,Charlemagne,PCOQ,02Jan2007,7.63,,,4.04,,4.04,
PCOQ,7202,N,F,Valeria,Y,292,28Jan2015,1,,CB,Duke Lemur Center,1,160,21Aug2014,8,6727,Antonia,PCOQ,22Feb1998,16.50,6650,Gordian,PCOQ,17Dec1995,18.69,,,4.03,,4.03,
PCOQ,7203,N,M,Matilda-A,N,293,28Feb2015,2,,CB,Duke Lemur Center,1,160,21Sep2014,9,6900,Matilda,PCOQ,21Dec2007,6.76,6903,Martinianus,PCOQ,25Jan2008,6.66,28Feb2015,0.00,,,0.00,
PCOQ,7204,N,ND,Anastasia-A,N,294,03Mar2015,3,,CB,Maryland Zoo in Baltimore,,160,24Sep2014,9,6828,Anastasia,PCOQ,18Feb2004,10.61,6797,Gratian,PCOQ,14Apr2002,12.45,03Mar2015,0.00,,,0.00,
LCAT,7205,N,M,Liesl-A,N,,19Mar2015,3,,CB,Duke Lemur Center,1,138,01Nov2014,11,6957,Liesl,LCAT,15Jul2008,6.30,6440,Aracus,LCAT,23May1991,23.46,21Mar2015,0.01,,,0.01,
EFLA,7206,N,F,Mirren,N,258,23Mar2015,3,,CB,Duke Lemur Center,1,124,19Nov2014,11,6993,West,EFLA,24Apr2011,3.58,6776,Quinn,EFLA,09Mar2001,13.71,,,,1.69,1.69,
EFLA,7207,N,M,DiCaprio,N,259,26Mar2015,3,,CB,Duke Lemur Center,1,124,22Nov2014,11,6970,Margret,EFLA,21Mar2010,4.68,6754,Tarantino,EFLA,23Apr1999,15.59,,,,1.68,1.68,
EMON,7208,N,M,Ignacio,Y,1290,11Apr2015,4,,CB,Duke Lemur Center,1,127,05Dec2014,12,6907,Maddie,EMON,02Jun2006,8.52,6717,Paco,EMON,26Jun1997,17.45,,,3.83,,3.83,
LCAT,7209,N,F,Princess Julien I,Y,4083,04May2015,5,,CB,Duke Lemur Center,2,138,17Dec2014,12,6864,Sophia,LCAT,18Jun2005,9.50,6955,Randy,LCAT,12Mar2006,8.77,,,3.76,,3.76,
