character_id	description
112	"所属：大台町

大台町には清流日本一の宮川が流れていて、アユ釣りが盛んで、お茶やゆずの産地でもあるんだ☆これまで全国の皆さんに応援してもらったけど今回が最後のエントリーになるので、どうか投票よろしくお願いします！"
113	"所属：高松兵庫町商店街振興組合

ひょこたんはさぬきうどんと骨付鳥が大好きな女の子。兵庫町商店街のお散歩とショッピングが大好き♪ステージイベントではダンスなんかも披露しちゃったり、見た目よりとってもアクティブ！"
114	"所属：杉戸町

杉戸宿開宿400年！皆さん、本気で400位を目指してますのでご協力ください！399位でも401位でもダメなんです！"
115	"所属：新潟県村上市

上市の名産である「鮭」「地酒」「人情（なさけ）」の3つの「サケ」をモチーフにしたキャラクター。地酒大好き永遠の20歳（はたち）。可愛い見た目とは裏腹に、中身はオジサンなサケリンに人情溢れる1票を！"
116	"所属：福知山環境会議

ゴーヤをつかった「みどりのカーテン」で地球温暖化防止活動を普及する熱血教師ゴーヤ先生。お友達キャラ「カパル」を日本一にするために久しぶりのエントリー！投票はカパルへ全力応援よろしくです！"
117	"所属：小平ブルーベリー協議会

ブルーベリー栽培発祥の地こだいらで、ひなたぼっこをしています。おっとりしているのに、出囃子は「サンバDEぶるべー」というアップテンポな曲だよ。検索してみてね！"
118	"所属：(一社)桶川市観光協会

2020年11月3日桶川市市政施行50周年桶川市のPRでおでかけベニ"
119	"所属：松原市

ウチ、マッキー。大阪府松原市のマスコットキャラクター。松とバラの間の妖精で女の子。頭が松とバラでできてるんやでっ！バラだけにちょっとトゲがあるけど、みんなを笑顔にする自信ありやっ！みんな応援してやぁ！"
120	"所属：群馬県前橋市

豚肉料理が名物の群馬県前橋市。「ＴＯＮＴＯＮのまち前橋」のキャラクターとして誕生したころ。ころころと太った可愛らしい仔豚をイメージした血色の良い健康優良児！チャームポイントは、まん丸の身体と赤いほっぺだころ。皆さん応援よろしころ！"
121	所属：
122	"所属：瀬戸市まるっとミュージアム・観光協会

やきもののまち愛知県瀬戸市の看板娘せとちゃんです！せともののお茶碗に入ってるの♪人とふれあうのが大好きでみんなとお友達になりたいんだ☆瀬戸市のイイところを伝えられるように頑張るから、みんな応援してネ！"
123	"所属：わたらせ渓谷鐵道株式会社

群馬県桐生市と栃木県日光市を結ぶわたらせ渓谷鐵道のマスコットキャラクター「わ鐵のわっしー」毎日沿線の平和を守るため安全パトロール隊長として活動しています。一生懸命PRを頑張るのでみんなの応援待ってるよ♪"
124	"所属：寝屋川市

はちかづきちゃんは、寝屋川市の有名な民話「鉢かづき姫」をモチーフに、市の木「さくら」をデザインに入れた、寝屋川市のマスコットキャラクターです。"
125	所属：わかぶな高原スキー場（駅川村観光協会）
126	"所属：守山商工会議所

よくハチにまちがえられるけど「ほたるの妖精」だよー。特技はお尻のひかりでみんなを元気にすること！自転車でビワイチ（びわ湖一周）するのがボクの夢なんだ♪～☆☆滋賀県守山市のＰＲキャラクターです☆☆"
127	所属：
128	"所属：稚内観光協会青年部

冬になると稚内に越冬しにくるアザラシです。稚内でとれる利尻昆布が美味しくて食べ過ぎ昆布色になってしまってます。　稚内はオホーツク海と日本海に囲まれた街です。そんな稚内で水揚げされる魚介類が大好きです！"
129	所属：羽生市立西中学校
130	"所属：かほく市

かほく市マスコットキャラクターにゃんたろうだにゃん☆大きな目とねじりはちまき、フワフワの肉球がチャームポイントだにゃん。かほく市を盛り上げるために一生懸命頑張るにゃん！！応援よろしくにゃん☆"
131	"所属：青森県　おいらせ町

おいらせ町イメージキャラクター　おいらくんです！OIRASEの“O”と奥入瀬川の水をイメージしているんだよ☆彡特技は握手をすることなんだみんなぜひ、ぼくに投票してください！"
132	"所属：貝づくし渥美事業委員会

愛知県渥美半島の可愛すぎるゆるキャラかいくん！！去年はプリプリと順位をあげて145位にまでなれたキャイ！！今年はめざせ総合100位以内！！みんな今年も俺のキャワイさに魅了されて投票するといいよ(＾＾)"
133	"所属：由比町商工会

「海が好き・山が好き・由比が好き！！」幸せを呼ぶハートのステイックを持って、日本中に笑顔とハッピーをお届けしまーす。日本一桜えびのまち由比（静岡市）のキャラクター「さくらゆいちゃん」をよろしくね！"
134	"所属：佐渡ご当地グルメ普及促進協議会

ゆるキャラグランプリ2016の前哨戦、「春の選抜」で準グランプリに輝いたのがオレだっちゃー！この余勢を駆って上位に食い込むことが出来るのか？？？オレが一番興味津々(笑)ま、ひとつよろしく頼むっちゃー♪"
135	"所属：宇和島商工会議所

宇和島地方に古くから伝わる牛鬼（うしおに）のキャラクターなんよ。頭の後ろにおる不思議な生き物と一緒に鯛めしパワーで頑張るけんね。目標はベスト3。応援よろしくお願いしま～す。もに、もに、もーに♪"
136	"所属：館林市

""分福茶釜と世界一のつつじで知られる館林市のマスコットキャラクター！胴体は""""茶釜""""頭には""""つつじ""""がのっているよ！日本一暑いまち館林の観光大使として日々がんばっているので応援よろしくぽん♪♪"""
137	"所属：豊橋市

市制１００周年を記念して生まれた豊橋市のマスコットさ。鬼祭の“赤鬼”と豊橋の“豊”でトヨッキー。赤鬼だけど気は優しいハイテクロボットなんだ。みんな、ぜひ投票してね。"
138	"所属：伊根町観光協会

伊根の舟屋の妖精ふなやんは、伊根町ふるさとＰＲ大使として活動しています。体が大きいのでドアが通れませんし、子供さんを泣かせてしまうこともありますが、伊根町の魅力を皆さんに伝えるため頑張ってます！"
139	"所属：辰野町

辰野町の特別シンボル「げんじ蛍」の妖精。町のセールスリーダーとしてほたるの町をPRしているよ。特技は仲間を集めてファンタジックな光の世界を創り出すこと。みんなの笑顔がだ～い好き。"
140	"所属：福生市

60年以上も続く、福生七夕まつりから誕生した竹（飾り）の妖精。ちょっとやんちゃな性格で、あらゆるところに出没しては、願いが叶うと巷で話題の「たっけー☆☆ハイタッチ」でみんなに幸せを運ぶ！！"
141	"所属：一般社団法人津市観光協会

津市ＰＲキャラクターのゴーちゃんじゃ！津市の良いところ、美味しいものをいつも紹介しておるぞ♪浅井三姉妹の三女、江姫たちが津市に住んでいたことから誕生したぞ！元気でおてんばな7才の女の子じゃぞ～"
