EXPID,REFID,RYEAR,RTYPE,RJRNL,RAUTHOR,RTITLE,RPUBLISHER,RPUBDATE,RLANGUAGE,RCITATION,RYAK94,RNOTES
KANG85401,01,1985,2,AAJ,"Nyka, Jozef",,,1986,,60:215 (1986),,
KIRA85301,01,1985,2,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,1986,,60:217 (1986),,
OHMI85101,01,1985,2,AAJ,"Meier, Ruedi",,,1986,,60:217 (1986),,
MAKA85101,01,1985,2,AAJ,"Barrard, Liliane and Maurice",,,1986,,60:217-218 (1986),,
MAKA85301,01,1985,2,AAJ,"Martini, Sergio",,,1986,,60:218 (1986),,
MAKA85401,01,1985,2,AAJ,"Baba, Hiroyuki",,,1986,,60:218 (1986),,
MAKA85402,01,1985,2,AAJ,"Nyka, Jozef",,,1986,,60:218-219 (1986),,
MAK285101,01,1985,2,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,1986,,60:219 (1986),,
MAK285301,01,1985,2,AAJ,"Naar, Ronald",,,1986,,60:219 (1986),,
MAK285302,01,1985,2,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,1986,,60:219-220 (1986),,
BARU85301,01,1985,2,AAJ,"Lukes, Cestmir",,,1986,,60:220 (1986),,
AMAD85101,01,1985,2,AAJ,"Alde, Carlo",,,1986,,60:220 (1986),,
TAWO85401,01,1985,2,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,1986,,60:221 (1986),,
AMAD85301,01,1985,2,AAJ,"Decamp, Erik",,,1986,,60:221 (1986),,
AMAD85402,01,1985,2,AAJ,"Guha, Kamal K.",,,1986,,60:221 (1986),,
AMAD85401,01,1985,2,AAJ,"Kennedy, Michael",A Hidden Gem-Ama Dablam's Northeast Face,,1987,,61:32-40 (1987),,
AMAD85302,01,1985,2,AAJ,"Harrington, Randy","Lagunak Ridge, Ama Dablam",,1986,,60:16-19 (1986),,
KTEG85401,01,1985,2,AAJ,"Nyka, Jozef",,,1986,,60:223 (1986),,
THAM85302,01,1985,2,AAJ,"Batard, Marc",,,1986,,60:223 (1986),,
KUSU85101,01,1985,2,AAJ,,,,1986,,60:224 (1986),,
KUSU85102,01,1985,2,AAJ,"Tabin, Geoffrey",,,1986,,60:224 (1986),,
EVER84401,02,1984,2,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,1986,,60:225 (1986),,
EVER85102,01,1985,2,AAJ,"Bonington, Chris",,,1986,,60:225-226 (1986),,
EVER85102,02,1985,1,,"Bass, Dick & Wells, Frank",Seven Summits,"Warner Books, New York",1986,,,B156,
EVER85101,01,1985,2,AAJ,"Saas, David",,,1986,,60:226 (1986),,
EVER85303,01,1985,2,AAJ,,,,1986,,60:227-228 (1986),,
EVER85304,01,1985,2,AAJ,"Yagihara, Kuniaki",,,1986,,60:228 (1986),,
EVER85403,01,1985,2,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,1986,,60:228 (1986),,
EVER85404,01,1985,2,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,1986,,60:228-229 (1986),,
EVER85402,01,1985,2,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,1986,,60:229 (1986),,
LSHR85101,01,1985,2,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,1986,,60:229 (1986),,
LHOT85302,01,1985,2,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,1986,,60:229-232 (1986),,
LHOT85301,01,1985,2,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,1986,,60:232 (1986),,
PUMO85101,01,1985,2,AAJ,"Haid, Arthur",,,1986,,60:232 (1986),,
PUMO85102,01,1985,2,AAJ,"Matas, Jaume",,,1986,,60:232 (1986),,
CHOY85103,01,1985,2,AAJ,"Garaioa, Xabier",,,1986,,60:234 (1986),,
CHOY85102,01,1985,2,AAJ,Ying Dao-Shui,,,1986,,60:234 (1986),,
CHOY85101,01,1985,2,AAJ,,,,1986,,60:234-235 (1986),,
CHOY85301,01,1985,2,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,1986,,60:235 (1986),,
CHOY85401,01,1985,2,AAJ,"Marshall, Roger",,,1986,,60:235-236 (1986),,
CHOB85101,01,1985,2,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,1986,,60:236 (1986),,
GAUR85101,01,1985,2,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,1986,,60:236 (1986),,
GAUR85301,01,1985,2,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,1986,,60:236 (1986),,
GAUR85401,01,1985,2,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,1986,,60:237 (1986),,
KARY85401,01,1985,2,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,1986,,60:237 (1986),,
DORJ85301,01,1985,2,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,1986,,60:237 (1986),,
LANG85301,01,1985,2,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,1986,,60:237 (1986),,
LSIS85301,01,1985,2,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,1986,,60:237 (1986),,
GAN185301,01,1985,2,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,1986,,60:238 (1986),,
GAN485301,01,1985,2,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,1986,,60:238 (1986),,
MANA85101,01,1985,2,AAJ,"Studer, Wilfried",,,1986,,60:238-239 (1986),,
MANA85303,01,1985,2,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,1986,,60:239-240 (1986),,
MANA85301,01,1985,2,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,1986,,60:239-240 (1986),,
MANA85302,01,1985,2,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,1986,,60:239-240 (1986),,
MANA85401,01,1985,2,AAJ,"Yamada, Norboru",,,1986,,60:240 (1986),,
HIME85101,01,1985,2,AAJ,"Orban, Pal Geza",,,1986,,60:240 (1986),,
HIME85301,01,1985,2,AAJ,"Takeda, Nobuyuki",,,1986,,60:241 (1986),,
HIMN85302,01,1985,2,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,1986,,60:241 (1986),,
HIMN85301,01,1985,2,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,1986,,60:241 (1986),,
HIMW85301,01,1985,2,AAJ,"Palmer, Ronald G.",,,1986,,60:242 (1986),,
KGUR85301,01,1985,2,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,1986,,60:242 (1986),,
ANN184401,02,1984,2,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,1986,,60:242 (1986),,
ANN185101,01,1985,2,AAJ,,,,1986,,60:242 (1986),,
DHA185102,01,1985,2,AAJ,,,,1986,,60:242 (1986),,
ANN185301,01,1985,2,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,1986,,60:243 (1986),,
ANN185302,01,1985,2,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,1986,,60:243 (1986),,
ANN185401,01,1985,2,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,1987,,61:249 (1987),,
ANN285301,01,1985,2,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,1986,,60:243 (1986),,
ANN385101,01,1985,2,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,1986,,60:244 (1986),,
ANN485301,01,1985,2,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,1986,,60:244 (1986),,
GANG84401,02,1984,2,AAJ,,,,1986,,60:244 (1986),,
GANG85301,01,1985,2,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,1986,,60:244 (1986),,
GANG85302,01,1985,2,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,1986,,60:244 (1986),,
ANNS84401,02,1984,2,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,1986,,60:245 (1986),,
ANNS85101,01,1985,2,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,1986,,60:245 (1986),,
ANNS85301,01,1985,2,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,1986,,60:245 (1986),,
ANNS85302,01,1985,2,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,1986,,60:245 (1986),,
NILN85101,01,1985,2,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,1986,,60:246 (1986),,
NILN85301,01,1985,2,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,1986,,60:246 (1986),,
NILS85301,01,1985,2,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,1986,,60:246 (1986),,
TILI85301,01,1985,2,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,1986,,60:246 (1986),,
DHA185101,01,1985,2,AAJ,"Harwood, Robert",,,1986,,60:247 (1986),,
DHA185401,01,1985,2,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,1986,,60:247 (1986),,
DHA185302,01,1985,2,AAJ,"Guha, Kamal K.",,,1986,,60:247 (1986),,
DHA185301,01,1985,2,AAJ,"Novak, Jiri",,,1986,,60:247-249 (1986),,
DHA185303,01,1985,2,AAJ,"Belak, Stane",,,1986,,60:249-250 (1986),,
DHA285301,01,1985,2,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,1986,,60:250 (1986),,
TUKU85101,01,1985,2,AAJ,Nam Ki-Chang,,,1986,,60:250 (1986),,
TUKU85301,01,1985,2,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,1986,,60:251 (1986),,
GURJ85101,01,1985,2,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,1986,,60:251 (1986),,
GURJ85102,01,1985,2,AAJ,"Bojor, Ovidiu",,,1986,,60:251 (1986),,
KAG185301,01,1985,2,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,1986,,60:252 (1986),,
SAIP85301,01,1985,2,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,1986,,60:252 (1986),,
EVER85103,01,1985,2,AAJ,"Kekus, Nikola",,,1986,,60:295 (1986),,
EVER85104,01,1985,2,AAJ,"Abrego, Mari",,,1986,,60:293-295 (1986),,
EVER85201,01,1985,2,AAJ,"Sors, Antoni",,,1986,,60:297 (1986),,
EVER85301,01,1985,2,AAJ,"Brookes, Austin",,,1986,,60:298 (1986),,
EVER85302,01,1985,2,AAJ,"Hasegawa, Tsuneo",,,1986,,60:298-299 (1986),,
CHOY84401,02,1984,2,AAJ,"Zawada, Andrzej",Cho Oyu's Three-Kilometer-High Face,,1986,,60:7-13 (1986),,
KANG86101,01,1986,2,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,1987,,61:221 (1987),,
KANG86301,01,1986,2,AAJ,"Hugas, Joan",,,1987,,61:221-222 (1987),,
NEPA86301,01,1986,2,AAJ,"Hembise, Dominique",,,1987,,61:222 (1987),,
JANU86301,01,1986,2,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,1987,,61:222 (1987),,
MAKA86101,01,1986,2,AAJ,"Gillette, Ned",,,1987,,61:222-223 (1987),,
MAKA86304,01,1986,2,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,1987,,61:223 (1987),,
MAKA86302,01,1986,2,AAJ,"Oelz, Oswald",,,1987,,61:223-224 (1987),,
MAKA86301,01,1986,2,AAJ,"Moro, Renato",,,1987,,61:224-225 (1987),,
LHOT86301,01,1986,2,AAJ,"Moro, Renato",,,1987,,61:224-225 (1987),,
MAKA86303,01,1986,2,AAJ,"Moro, Renato",,,1987,,61:225 (1987),,
