PEAKID,PKNAME,PKNAME2,LOCATION,HEIGHTM,HEIGHTF,HIMAL,REGION,OPEN,UNLISTED,TREKKING,TREKYEAR,RESTRICT,PHOST,PSTATUS,PEAKMEMO,PYEAR,PSEASON,PEXPID,PSMTDATE,PCOUNTRY,PSUMMITERS,PSMTNOTE,REFERMEMO,PHOTOMEMO
PARC,Parchamo,"Parchermo, Parchemuche, Pachermo",Rolwaling Himal (S of Tesi Laptsa),6279,20600,19,2,FALSE,FALSE,TRUE,1978,,1,2,,1955,1,PARC55101,Apr,UK,"Peter Boultbee, Denis Davis",,,
PATR,Patrasi Himal,Kande Hiunchuli North,Kanjiroba Himal (NE of Kande Huinchuli),6450,21161,10,7,TRUE,FALSE,FALSE,,,1,1,,,0,,,,Unclimbed,,,
PETH,Pethangtse,,Khumbu Himal (NW of Makalu on Tibetan border),6739,22110,12,2,TRUE,FALSE,FALSE,,Opened in 2002,4,2,,1954,1,PETH54101,May 26,"New Zealand, Nepal","Michael Ball, Norman Hardie, Brian Wilkins, Urkien Sherpa",,,
PHUR,Phurbi Chhyachu,Phurbi Ghyachu,Jugal Himal (SE of Dorje Lhakpa on Tibetan border),6637,21775,8,3,TRUE,FALSE,FALSE,,,4,2,,1982,1,PHUR82101,May 01,"Japan, Nepal","Shintaro Kurokawa, Fumihito Ogawa, Hiromitsu Okamoto, Takashi Shingaki, Hajime Takigami, Ang Phuri Lama, Pemba Lama Sherpa",,,
PIMU,Pimu,Pamalka,Rolwaling Himal (N of Tesi Laptsa),6344,20814,19,2,FALSE,TRUE,FALSE,,,1,2,,1955,1,PIMU55101,Apr,UK,"Peter Boultbee, Dennis Davis",,,
PISA,Pisang,Jong Ri,Damodar Himal (N of Marysangdi Valley),6091,19984,3,5,FALSE,FALSE,TRUE,1978,,1,2,,1955,1,PISA55201,Jun 10,W Germany,Juergen Wellenkamp,,,
PK29,Peak 29,"Ngadi Chuli, Dakura, Dr Harka Gurung Chuli",Manaslu Himal (S of Manaslu),7871,25823,15,4,TRUE,FALSE,FALSE,,,1,2,,1979,1,PK2979101,May 08,Poland,"Ryszard Gajewski, Maciej Pawlikowski",1st ascent claimed by Japan (Sumiyoshi) in 1970 (summiters killed in descent),,
POIN,Pointed Peak,,"Khumbu Himal (N of Cholatse, S of Tshola La)",5850,19193,12,2,FALSE,TRUE,FALSE,,,1,2,,1953,1,POIN53101,Apr 01,UK,"Wilfred Noyce, Michael Ward, Charles Wylie",,,
POKA,Pokalde,,Khumbu Himal (N of Ama Dablam),5780,18963,12,2,FALSE,FALSE,TRUE,1978,,1,2,,1953,1,POKA53101,Apr 15,UK,"Tom Bourdillon, Wilfred Noyce, Michael Ward",,,
OMBG,Ombigaichen,Puma Dablam,Khumbu Himal (SE of Ama Dablam),6340,20801,12,2,FALSE,FALSE,TRUE,2002,Opened in 2002 as trekking peak,1,2,,1960,3,OMBG60301,Nov 18,"New Zealand, Nepal","Jim Milledge, Ang Tsering Sherpa",,,
PUMO,Pumori,,Khumbu Himal (WNW of Everest on Tibetan border),7138,23419,12,2,TRUE,FALSE,FALSE,,,4,2,,1962,1,PUMO62101,May 17,"W Germany, Switzerland","Gerhard Lenser, Ernst Farrer, Ueli Huerlemann, Hans Ruetzel",,,
PUTH,Putha Hiunchuli,Dhaulagiri VII,Dhaulagiri Himal (W of Churen Himal),7246,23773,4,6,TRUE,FALSE,FALSE,,,1,2,,1954,3,PUTH54301,Nov 11,"UK, Nepal","J. O. M. Roberts, Ang Nyima Sherpa",,,
PYRM,Pyramid Peak,"Pathibhara Chuli, Pathibhara Khas",Jongsang Himal (N of Kangchenjunga on Indian border),7140,23425,7,1,TRUE,FALSE,FALSE,,,5,2,,1993,1,PYRM93101,Apr 24,"Japan, India","Yoshio Ogata, Jot Singh Bhandari, Hiroshi Iwazaki, Phurba Lepcha, Sunder Singh Martolia, Lobsang Sherpa, Nobuhiro Shingo",1st ascent claimed by Swiss (Sutter) in 1949 but reached secondary summit,,
RAKS,Raksha Urai,Raksha Urai III,Raksha Urai Himal (ESE of Nampa),6609,21683,2,7,TRUE,FALSE,FALSE,,,1,2,,2003,3,RAKS03301,Oct 15,"France, Nepal","Arnaud Clere, Catherine Couland, Gael Faroux, Keshab Raj Gurung",,,
RAMD,Ramdung,Ramdong Go,Rolwaling Himal (W of Tesi Laptsa),5900,19357,19,2,FALSE,FALSE,TRUE,1978,,1,2,,1952,3,RAMD52301,Oct,"UK, Nepal","Tom MacKinnon, Dawa Tenzing Sherpa, Mingma Sherpa",,,
RATH,Rathong,,Simhalila Himal (SW of Kabru on Indian border),6682,21923,9,1,TRUE,FALSE,FALSE,,,5,2,,1964,3,RATH64301,Oct 29,India,"H. P. S. Ahluwalia, Ang Kami Sherpa, Dorje Latoo Sherpa, Nawang Gombu Sherpa",,,
ROCN,Roc Noir,"Khangsar Kang, Khang Sar Khang",Annapurna Himal (ENE of Annapurna I),7485,24557,1,5,TRUE,FALSE,FALSE,,,1,2,,1969,1,ROCN69101,May 09,W Germany,"Reinhold Obster, Pit Schubert, Karl Winkler",,,
ROKA,Rokapi,Kapchuli,"Api Himal (S of Nampa, Bobaye and Jethi Bahurani)",6468,21220,2,7,TRUE,FALSE,FALSE,,Opened in 2002,1,2,,1977,3,ROKA77301,Oct 10,UK,"Thomas Herley, Kelvin McLane",,,
SAIE,Saipal East Humla,,Saipal Himal (NE of Saipal),6925,22720,20,7,TRUE,FALSE,FALSE,,,1,2,,1990,3,SAIP90301,Oct 26,"Switzerland, Nepal","Jacques Montaz, Tendi Sherpa",Saipal East Humla is a subpeak on the NE Ridge of Saipal,,
SAIP,Saipal,,Saipal Himal,7030,23064,20,7,TRUE,FALSE,FALSE,,,1,2,,1963,3,SAIP63301,Oct 21,"Japan, Nepal","Katsuotoshi Hirabayashi, Pasang Phutar Sherpa (I)",,,
SHAR,Shartse,"Peak 38, Shanti Shikhar",Khumbu Himal (E of Lhotse Shar on Tibetan border),7591,24905,12,2,TRUE,FALSE,FALSE,,,4,1,,,0,,,,Unclimbed,,,
SHA2,Shartse II,Junction Peak,Khumbu Himal (E of Lhotse Shar on Tibetan border),7457,24465,12,2,TRUE,FALSE,FALSE,,,4,2,,1974,1,SHA274101,May 23,"Austria, W Germany","Kurt Diemburger, Hermann Warth",,,
SHEY,Shey Shikhar,Junction Peak,Kanjiroba Himal (SE of Kanjiroba and Tripura Hiunchuli),6139,20141,10,7,TRUE,FALSE,FALSE,,,1,2,,2007,2,SHEY07201,Aug 23,Japan,Katsuhito Fujikawa,,,
SING,Singu Chuli,Fluted Peak,Annapurna Himal (Annapurna Sanctuary),6501,21329,1,5,FALSE,FALSE,TRUE,1978,,1,2,,1957,1,SING57101,Jun 13,UK,"David Cox, Wilfred Noyce",,,
SISN,Sisne Himal,Hiunchuli Patan,Sisne Himal (SW of Juphal in Rukum),5911,19393,10,7,TRUE,FALSE,FALSE,,,1,2,,2013,1,SISN13101,May 26,"Nepal, USA","Man Bahadur Khatri, Alonzo Lyons, Dbruba Bista, Mulal Gurung, Nilam Gurung, Ali Bahadur Khatri, Vinaya Jaya Malla, Amrit Sarki",,,
SITA,Sita Chuchura,,Mukut Himal (ENE of Dhaulagiri II near French Pass),6611,21690,16,6,TRUE,FALSE,FALSE,,,1,2,,1970,3,SITA70301,Oct 26,"Japan, Nepal","Masahiko Takahashi, Hiroshi Harada, Nobuyki Hirato, Phurba Kitar Sherpa",,,
SNOW,Snow Peak,,Dhaulagiri Himal (E of Dhaulagiri II),6530,21424,4,6,FALSE,TRUE,FALSE,,,1,1,,,0,,,,Unclimbed,,,
SPHN,Sphinx,"Pathibhara Phurba, Pathibhara East",Jongsang Himal (NE of Pathibhara on Indian border),6825,22392,7,1,TRUE,FALSE,FALSE,,Opened in 2014,5,2,,1936,1,SPHN36101,Jun,UK,"J. K. Cooke, Frederick S. Chapman, John B. Harrison",,,
SPH1,Sharphu I,Tanga I,Ohmi Kangri Himal (WNW of Kangchenjunga),6433,21106,6,1,TRUE,FALSE,FALSE,,Opened in 2002,1,2,,1963,3,SPH163301,Oct 22,Japan,"Takao Ishinabe, Chiharu Miyamoto, Yuzo Tatsumi",,,
SURM,Surma-Sarovar North,,Api Himal (SSE of Jethi Bahurani),6564,21535,2,7,TRUE,FALSE,FALSE,,,1,1,,,0,,,,Unclimbed,,,
TAWO,Tawoche,Taboche,Khumbu Himal (NW of Ama Dablam),6495,21309,12,2,TRUE,FALSE,FALSE,,,1,2,,1974,1,TAWO74101,Apr 15,France,"Louis Dubost, Paul Gendre",,,
KIRA,Kirat Chuli,Tent Peak,Jongsang Himal (N of Kangchenjunga on Indian border),7362,24154,7,1,TRUE,FALSE,FALSE,,,5,2,,1939,2,KIRA39101,May 29,"Switzerland, Germany","Ernst Grob, Herbert Paidar, Ludwig Schmaderer",,,
THAM,Thamserku,Tramserku,Khumbu Himal (SW of Ama Dablam),6618,21713,12,2,TRUE,FALSE,FALSE,,,1,2,,1964,3,THAM64301,Nov 04,New Zealand,"Lynn Crawford, Peter Farrell, John McKinnon, Richard Stewart",,,
THAR,Tharpu Chuli,Tent Peak,Annapurna Himal (Annapurna Sanctuary),5695,18684,1,5,FALSE,FALSE,TRUE,1978,,1,2,,1964,3,THAR64301,Oct 23,Japan,"Masaaki Kimura, Kiyoo Shimada",,,
TILI,Tilicho,Tilitso,Annapurna-Nilgiri Himal (N of Annapurna I),7134,23406,1,5,TRUE,FALSE,FALSE,,,1,2,,1978,3,TILI78301,Oct 10,France,Emmanuel Schmutz,Reinhold Messner claimns first ascent in autumn of 1971,,
TLNG,Talung,,Simhalila Himal (S of Kangchenjunga on Indian border),7349,24111,9,1,TRUE,FALSE,FALSE,,Opened in 2002,5,2,,1964,1,TLNG64101,May 19,"W Germany, Nepal","Franz Lindner, Tenzing Nanda Sherpa",,,
