PEAKID,PKNAME,PKNAME2,LOCATION,HEIGHTM,HEIGHTF,HIMAL,REGION,OPEN,UNLISTED,TREKKING,TREKYEAR,RESTRICT,PHOST,PSTATUS,PEAKMEMO,PYEAR,PSEASON,PEXPID,PSMTDATE,PCOUNTRY,PSUMMITERS,PSMTNOTE,REFERMEMO,PHOTOMEMO
JING,Jinjang,"Genjang, Gajang, Jijang",Damodar Himal (E of Thorong La),6111,20049,3,5,TRUE,FALSE,FALSE,,Opened in 2002,1,2,,,0,,,,Climbed by Japanese in April 1983?,,,
JOBO,Jobo Rinjang,Jobo Ribjang,Rolwaling Himal (SW of Nangpa La near Tibetan border),6778,22238,19,2,TRUE,FALSE,FALSE,,Opened in 2002,1,2,,2009,1,JOBO09101,Apr 22,USA,"Joe Puryear, David Gottlieb",,,
KYAB,Kyabura,"Ghabur, Temachungi","Kangchenjunga Himal (W of Kumbhakarna, Sobitongie and Phole)",6294,20650,9,1,TRUE,FALSE,FALSE,,Opened in 2002,1,1,,,0,,,,Unclimbed?,,,
KUML,Kumlung,Kang Kuru?,Damodar Himal (NE of Saribung and W of Bhrikuti),6355,20850,3,5,TRUE,FALSE,FALSE,,Opened in 2002,1,2,,2008,3,KUML08301,Oct 14,France,"Paulo Grobel, Paul Vulin",,,
DGAR,Dhaulagari,Dhaulasiri,"Raksha Urai Himal (E of Bobaye, S of Raksha Urai)",6638,21778,2,7,TRUE,FALSE,FALSE,,Opened in 2002,1,1,,,0,,,,Unclimbed,,,
LHAY,Lhayul Peak,,Api Himal (SW of Api Main),6395,20981,2,7,TRUE,FALSE,FALSE,,Opened in 2002,1,1,,,0,,,,Unclimbed,,,
MERR,Merra,,Kangchenjunga Himal (WNW of Anidesh Chuli),6334,20781,9,1,TRUE,FALSE,FALSE,,Opened in 2002,1,2,,2006,3,MERR06301,Oct 18,Denmark,Claus Ostergaard,,,
PBUK,Pabuk Kang,Kangata,Ohmi Kangri Himal (E of Nangamari I on Tibetan border),6244,20486,6,1,TRUE,FALSE,FALSE,,Opened in 2003,4,1,,,0,,,,Unclimbed,,,
YANK,Yanme Kang,Yanme Khang,Ohmi Kangri Himal (NW of Nangamari on Tibetan border),6206,20361,6,1,TRUE,FALSE,FALSE,,Opened in 2003,4,2,,2017,3,YANK17301,Oct 29,France,"Gregoire Lestienne, Floriane Pugin",May have climbed the 6244m peak northwest of the 6206m peak that Ministry calls Yanme Kang.,,
DANS,Danphe Shail,Danfe Shail,Palchung Himal (N of Kanjiroba on Tibetan border),6103,20023,11,7,TRUE,FALSE,FALSE,,Opened in 2002,4,2,,2017,3,DANS17301,Oct 05,"France, Nepal","Sonia Baillif, Etienne De Fleurian, Laurence De Fleurian, Paulo Grobel, Jean Males, Etienne Principaud, Bernard Vallet, Dipen Bhote, Dhan Magar, Anil Rai",,,
GAN7,Ganesh VII,,Ganesh Himal (E of Ganesh I in Tibet),6350,20833,5,4,FALSE,TRUE,FALSE,,,2,1,,,0,,,,Unclimbed?,,,
PHAR,Pharilapcha,,Khumbu Himal (SW of Gokyo Lake),6017,19741,12,2,FALSE,FALSE,TRUE,2002,Opened in 2002,1,2,,2003,1,PHAR03101,May 19,Nepal,"Dinesh Devkota, Ongchu Sherpa, Namgyal Sherpa, Lhakpa Sherpa",,,
THOR,Thorong Peak,Thorung Peak,"Muktinath Himal, south of Thorong La",6144,20157,1,5,TRUE,FALSE,FALSE,,,1,2,,2007,3,THOR07301,Nov 08,"Japan, Nepal","Satoru Endo, Mikio Iga, Terue Katakura, Mitsukuni Oka, Rikio Takahashi, Hiroshi Yumoto, Gadjet Bis Gurung, Ang Dawa Tamang, Hit Bahadur Tamang, Pasang Tamang",1st official ascent (likely many others previously),,
CHKA,Chamar Kang,"Chharka, Kangtega","Mukut Himal (NW of Tsharka village, SE of Tingkyu village)",6060,19882,16,6,FALSE,TRUE,FALSE,,,1,2,,2007,3,CHKA07301,Sep 21,"Japan, Nepal","Tamotsu Ohnishi, Toshitsugi Irisawa, Koichi Kato, Chhepa Sherpa",,,
NUPK,Nupche Kang,"Friendship Peak, Nupche Himal",Khumbu Himal (ESE of Nangpa La on Tibetan border),6576,21575,12,2,TRUE,FALSE,FALSE,,Opened in 2014,4,2,,1964,1,NUPK64101,Apr 06,"W Germany, Nepal","Fritz Stammberger, Aila Sherpa",,,
PUCH,Punchen Himal,Puchen Himal,Shringi Himal (in Tsum Valley N of Pashuwo on Tibetan border),6049,19846,5,4,TRUE,FALSE,FALSE,,,4,1,,,0,,,,Unclimbed,,,
KAKU,Kang Kuru,,"Mustang Himal (NNE of Tsartse, WSW of Ghami village)",6344,20814,16,6,FALSE,TRUE,FALSE,,,1,2,,2008,1,KAKU08101,Apr 16,USA,"Peter Athans, Theodore Hessler",,,
AMPM,Amphu Middle,Amphu North,Khumbu Himal (NE of Amphu Laptsa),6202,20348,12,2,FALSE,TRUE,FALSE,,Requires permit for Amphu I,1,2,,2008,1,AMPM08101,Apr 20,Germany,"Olaf Rieck, Alexander Graeber",,,
LUGU,Lugula,,Damodar Himal (E of Bhrikuti Sail on Tibetan border),6899,22635,3,5,TRUE,FALSE,FALSE,,Opened in 2014,4,2,,2010,3,LUGU10301,Nov 02,France,Renald Guillaune,1st official ascent in Spring 2014 by S Koreans,,
BHRS,Bhrikuti Shail,,Damodar Himal (NE of Thorong La on Tibetan border),6361,20869,3,5,TRUE,FALSE,FALSE,,,4,2,,2005,1,BHRS05101,May 16,"France, Nepal","Paulo Grobel, Denis Flaven, Bikram Singh",,,
MYAG,Myagdi Matha,,Dhaulagiri Himal (S of Dhaulagiri IV),6273,20581,4,6,FALSE,TRUE,FALSE,,,1,1,,,0,,,,Unclimbed?,,,
TOBS,Tobsar,Tabsar,Shringi Himal (ENE of Chamar),6065,19898,5,4,TRUE,FALSE,FALSE,,Opened in 2002,1,2,,2017,3,TOBS17301,Oct 01,Nepal,"Narendra Shahi, Iman Gurung, Samir Gurung",,,
DINS,Dingjung Ri,Dingjung Ri South,Rolwaling Himal (S of Pangbuk Ri on Tibetan border),6196,20328,19,2,TRUE,FALSE,FALSE,,Opened in 2002,4,2,,2008,1,DINS08101,Mar 15,Japan,"Kenro Nakajima, Hiroki Yamamoto",1st known ascent (may be others earlier),,
DUDH,Dudh Kundali,"Dui Tal Chuli, Two Lakes Peak",Jagdula Lekh (S of Kanjiroba Himal),6045,19833,10,7,TRUE,FALSE,FALSE,,,1,2,,1953,3,DUDH53301,Nov,"Austria, Nepal, India","Herbert Tichy, Ajiba Sherpa, Gyalzen Sherpa, Pasang Dawa Lama, Pemba Sherpa",Climbed again in 1999 by French group,,
KAGA,Kanta Gaton,Kangfu Gaton,Kanjiroba Himal (SE of Phoksumdo Tal),5910,19390,10,7,TRUE,FALSE,FALSE,,Opened in 2002,1,2,,2009,2,KAGA09201,Aug 16,"France, Nepal","Jean-Rene Minelli, Abel Minelli, Eienne Minelli, Sarah Minelli, Pemba Jangbu Sherpa",1st official ascent,,
KAPT,Kaptang,,Kanti Himal (NW of Kanti Himal peak on Tibetan border),5965,19570,11,7,TRUE,FALSE,FALSE,,Opened in 2002,4,2,,2009,3,KAPT09201,Jun 09,"Japan, Nepal","Tamotsu Ohnishi, Toshitsugi Irizawa, Gombu Sherpa",,,
ROMA,Roma,,Saipal Himal (SW of Saipal),5407,17740,20,7,TRUE,FALSE,FALSE,,Delisted in 2014,1,1,,,0,,,,Unclimbed?,,,
RIPI,Ripimo Shar,"Khang Karpo, Kang Karpo",Rolwaling Himal (S of Dingjung Ri on Tibetan border),6647,21808,19,2,TRUE,FALSE,FALSE,,Opened in 2014 (as Khang Karpo),4,2,,1952,1,RIPI52101,May 29,UK,"Tom Bourdillon, Ray Colledge",,,
TSIS,Tsisima,"Chijima, MDM Peak",Janak Himal (WSW of Janak Chuli),6196,20328,6,1,FALSE,TRUE,FALSE,,,1,2,,1963,1,TSIS63101,Jun 03,"Japan, Nepal","Motohiko Kogo, Kunga Norbu",,,
TAWA,Tawa,,Damodar Himal (NNE of Yakawa Kang),6110,20046,3,5,FALSE,TRUE,FALSE,,,1,2,,2010,3,TAWA10301,Oct 21,"Japan, Nepal","Mikio Iga, Kazuya Fujikura, Chhongba Sherpa, Lhakpa Sherpa",,,
URMA,Urkema,"Baden Powell Scout Peak, Urgyenma",Langtang Himal (W of Ganja La),5890,19324,13,3,TRUE,FALSE,FALSE,,,1,2,,2007,3,URMA07301,Sep 12,"Taiwan, S Korea, Singapore, Australia, Nepal",15 international scout students and 6 Sherpas,,,
MPNW,Manapathi NW,,"Dhaulagiri Himal (SSW of Dhaulagiri I, NW of Manapathi)",6384,20945,4,6,FALSE,TRUE,FALSE,,,1,2,,1977,1,MPNW77101,Apr 20,"Italy, UK, W Germany","Reinhold Messner, Leo Dickinson, Eric Jones, Otto Wiedemann",,,
LUNR,Lunag Ri,"Lunag I, Rongshar Ri I, Ondrej Peak",Rolwaling Himal (SW of Nangpa La on Tibetan border),6895,22621,19,2,FALSE,TRUE,FALSE,,Requires permit for Jobo Rinjang,4,1,,,0,,,,,,,
JASG,Jasemba Goth,Dzasampa Kang,Khumbu Himal (NW of Pasang Lhamu Chuli),6730,22080,12,2,TRUE,FALSE,FALSE,,Opened in 2014,1,2,,1964,1,JASG64101,Apr 08,W Germany,"Georg Huber, Fritz Stammberger",,,
GOJN,Gojung,Mugu Chuli,Kanti Himal (WNW of Kanti Himal peak on Tibetan border),6310,20702,11,7,FALSE,TRUE,FALSE,,,4,2,,2011,3,GOJN11301,Oct 19,UK,"Mick Fowler, Dave Turnbull",,,
NAN2,Nangamari II,,Ohmi Kangri Himal (S of Nangamari I),6209,20371,6,1,TRUE,FALSE,FALSE,,,1,2,,2016,3,NAN216301,Oct 17,Japan,"Tsuneo Shigehiro, Kensuke Iwai, Kiyo Kuroda, Shiro Matsunaka, Yusuke Morimoto, Kanji Totegi, Miyoko Nagase, Masayuki Takenaka, Saori Tatsuno",,,
DRAG,Dragmorpa Ri,"Thakmarpo Ri, Panaya Tippa",Langtang Himal (SW of Tilman's Col on Tibetan border),6185,20292,13,3,TRUE,FALSE,FALSE,,,4,2,,2013,1,DRAG13101,May 30,Russia,Roman Gretzky,Did Gretzky climb Dagmorpa Ri or Paniyo Tippa in Khumbu?,,
SYKG,Syaokang,,Ohmi Kangri Himal (SW of Ohmi Kangri near Tibetan border),5929,19452,6,1,TRUE,FALSE,FALSE,,,1,2,,2012,3,SYKG12301,Oct 25,New Zealand,"John Cocks, Martin Hunter, Geoffrey Lamarche, Paul Maxim, Nick Schearer",,,
BIJO,Bijora Hiunchuli,,Jagdula Lekh (S of Kande Huinchuli),6111,20049,10,7,TRUE,FALSE,FALSE,,Opened in 2014,1,1,,,0,,,,Unclimbed,,,
CHUB,Chhuboche,,Damodar Himal (NNE of Pisang Peak),5606,18392,3,5,TRUE,FALSE,FALSE,,,1,2,,2013,3,CHUB13301,Nov 16,UK,"Brian Jackson, Hugh Wrightson, Pasang Sherpa, Tendi Wangya",,,
LUNW,Lunag West,,Rolwaling Himal (W of Lunag I on Tibetan border),6492,21299,19,2,FALSE,TRUE,FALSE,,Requires permit for Jobo Rinjang,4,2,,2013,3,LUNW13301,Oct 22,USA,"Scott Adamson, Chris Wright",,,
DOMO,Domo,Jongsang SE Peak,Jongsang Himal (SE of Jongsong on Indian border),7447,24432,7,1,FALSE,TRUE,FALSE,,,5,2,,1930,1,DOMO30101,Jun 08,"Germany, Nepal","Guenter Dyhrenfurth, Lewa Sherpa",,,
LUN2,Lunag II,,Rolwaling Himal (SW of Nangpa La near Tibetan border),6812,22349,19,2,FALSE,TRUE,FALSE,,Requires permit for Jobo Rinjang,1,2,,2010,3,LUN210301,Oct 26,France,"Mathieu Detrie, Max Belleville, Mathiew Maynadier, Sebastien Ratel",,,
TRIA,Triangle Peak,,Jugal Himal (NNW of Dome Blanc on Tibetan border),6484,21273,8,3,FALSE,TRUE,FALSE,,,4,2,,2013,3,TRIA13301,Oct 09,France,"Sebastien Moatti, Max Bonniot",Climbed from Tibetan side,,
KASI,Kasi Dalpha,,Jagdula Lekh (S of Kande Huinchuli),6386,20951,10,7,TRUE,FALSE,FALSE,,Opened in 2014,1,1,,,0,,,,Unclimbed,,,
NPHU,Narphu,,"Damodar Himal (WNW of Pisang Peak, E of Chulu East Peak)",5921,19426,3,5,TRUE,FALSE,FALSE,,,1,2,,2014,3,NPHU14301,Nov 22,"UK, Nepal","Brian Jackson, Heather Bentley, Catherine Husted, Dawn Richardson, James Salt, Rhiannon Thomson, Mingma Dorje Sherpa, Pasang Sherpa Shikhar Pandey",1st official ascent,,
POTA,Pota Himal North,Peak Hawley,Dhaulagiri Himal (NE of Putha Hiunchuli),6182,20282,4,6,TRUE,FALSE,FALSE,,Opened in 2014,1,2,,2008,1,POTA08101,May 09,France,Francois Damilano,,,
PANN,Pangbuk North,Jobo LeCoultre,Rolwaling Himal (NE of Pangbuk Ri on Tibetan border),6478,21253,19,2,FALSE,TRUE,FALSE,,,4,2,,2013,3,PANN13301,Nov 01,USA,"Scott Adamson, Christopher Wright",,,
MUST,Mustang Himal,,Mustang Himal (S of Mansail on Tibetan border),6195,20325,16,6,TRUE,FALSE,FALSE,,Opened in 2014,1,2,,2014,3,MUST14301,Nov 02,USA,"Melissa Arnot, Ben Jones, Jon Mancuso",,,
MNSL,Mansail,Manshail,Mustang Himal (NW of Lo Manthang on Tibetan border),6235,20456,16,6,TRUE,FALSE,FALSE,,Opened in 2014,1,2,,2014,3,MNSL14301,Sep 29,Japan,"Yukiko Inoue, Eri Hasegawa, Mariko Nakamura, Kei Taniguchi",,,
CPHU,Chhochenphu Himal,,Ohmi Kangri Himal (SW of Pabuk Kang near Tibetan border),6260,20538,6,1,TRUE,FALSE,FALSE,,Opened in 2014,1,1,,,0,,,,Unclimbed,,,
TANK,Tankya I,,Kanti Himal (NE of Mariyang on Tibetan border),6305,20686,11,7,TRUE,FALSE,FALSE,,Opened in 2014,4,1,,,0,,,,Unclimbed,,,
GORK,Gorakh Khang,,Gorakh Khang (ENE of Simikot on Tibetan border),6254,20518,17,7,TRUE,FALSE,FALSE,,Opened in 2014,4,1,,,0,,,,Unclimbed,,,
RAUN,Raungsiyar,,Rolwaling Himal (N of Pimu),6224,20420,19,2,TRUE,FALSE,FALSE,,Opened in 2014,1,2,,2015,3,RAUN15301,Oct 04,Nepal,"Dawa Gyalje Sherpa, Nima Tenji Sherpa, Tashi Sherpa",,,
LDAK,Langdak,,Rolwaling Himal (N of Raungsiyar and Pimu),6220,20407,19,2,TRUE,FALSE,FALSE,,Opened in 2014,1,2,,2015,3,LDAK15301,Oct 05,Nepal,"Dawa Gyalje Sherpa, Nima Tenji Sherpa, Tashi Sherpa",,,
TKRE,Takargo East,"Thakar Go East, Dragker-go East",Rolwaling Himal (ESE of Takargo),6152,20184,19,2,TRUE,FALSE,FALSE,,Opened in 2014,1,2,,2015,3,TKRE15301,Oct 06,Nepal,"Dawa Gyalje Sherpa, Nima Tenji Sherpa, Tashi Sherpa",,,
OMIT,Omitso Go,Omi Tso Go,Rolwaling Himal (NE of Kang Nachugo on Tibetan border),6332,20774,19,2,TRUE,FALSE,FALSE,,Opened in 2014,4,1,,,0,,,,Unclimbed,,,
CBAM,Chhopa Bamare,Chomo Pamari,Rolwaling Himal (NW of Lamabagar on Tibetan border),6109,20043,19,2,TRUE,FALSE,FALSE,,Opened in 2014,4,2,,2019,4,CBAM18401,Feb 28,"USA, France","John Kelley, Benjamin Billet",,,
YALW,Yalung Kang West,,Kangchenjunga Himal (W summit of Yalung Kang),8077,26499,9,1,TRUE,FALSE,FALSE,,Opened in 2014,1,1,,,0,,,,Unclimbed,,,
KANN,Kangchenjunga North,,Kangchenjunga Himal (small knob north of Main summit),7938,26043,9,1,TRUE,FALSE,FALSE,,Opened in 2014,5,1,,,0,,,,Unclimbed?,Possibly traversed on KANG ascents from north,,
KBNE,Kangbachen East,Kambachen East,Kangchenjunga Himal (plateau SE of Kangbachen?),7780,25525,9,1,TRUE,FALSE,FALSE,,Opened in 2014,1,1,,,0,,,,Unclimbed,,,
HERZ,Herzog Peak,Khangsar Khang West,Annapurna Himal (WSW of Roc Noir),7555,24787,1,5,TRUE,FALSE,FALSE,,Opened in 2014,1,2,,,0,,,,Climbed?,Likely climbed on traverses to ANNE,,
GANW,Gangapurna West,"Lachenal Peak, Asapurna",Annapurna Himal (W of Gangapurna),7140,23425,1,5,TRUE,FALSE,FALSE,,Opened in 2014,1,1,,,0,,,,Unclimbed?,,,
CHMR,Chamar,Shringi Himal,Shringi Himal (SSE of Chamar),7161,23494,5,4,TRUE,FALSE,FALSE,,,1,1,,,0,,,,Unclimbed?,,,
NGAP,Nepal Gap Peak,Nepal Gyap Peak,Kangchenjunga Himal (ENE of Gimmegela on Indian border),7007,22989,9,1,TRUE,FALSE,FALSE,,Opened in 2014,5,1,,,0,,,,Unclimbed?,,,
GAUS,Gaurishankar South,Gauri,Rolwaling Himal (S of Gaurishankar),7010,22999,19,2,TRUE,FALSE,FALSE,,Opened in 2014,1,2,,1979,3,GAUS79301,Nov 09,UK,"Peter Boardman, Pemba Lama, Timothy Leach, Guy Neithardt",,,
BURK,Burke Kang,Burke Khang,Khumbu Himal (ENE of Hungchhi on Tibetan border),6942,22776,12,2,TRUE,FALSE,FALSE,,Opened in 2014,4,2,,2017,3,BURK17301,Oct 05,"Ireland, Nepal","Noel Hanna, Samden Bhote, Nanda Dorje Sherpa, Pemba Tshering (Maila) Sherpa",,,
HMLE,Himlung East,,Peri Himal (E of Himlung Himal on Tibetan border),6932,22743,18,5,TRUE,FALSE,FALSE,,Opened in 2014,4,2,,2017,1,HMLE17101,May 08,"France, Nepal","Paulo Grobel, Isabelle Guillaume, Rajan Lama Bhote, Jangbu Sherpa",,,
YNGS,Yangra Kangri South,"Yangra South, Ganesh I South",Ganesh Himal (NW of Ganesh III on Tibetan border),6863,22516,5,4,TRUE,FALSE,FALSE,,Opened in 2014,4,1,,,0,,,,Unclimbed?,,,
NUPL,Nup La Kang,Nupla Khang,Khumbu Himal (N of Nup La on Tibetan border),6861,22510,12,2,TRUE,FALSE,FALSE,,Opened in 2014,4,2,,2018,3,NUPL18301,Nov 02,"USA, Norway",,,,
CHUM,Chumbu,,Khumbu Himal (WSW of Khangri Shar near Tibetan border),6859,22503,12,2,TRUE,FALSE,FALSE,,Opened in 2014,1,1,,,0,,,,Unclimbed,,,
PHUG,Phu Kang Go,"Phu Khang Go, Athahra Saya Khola Himal",Peri Himal (SE of Cheo on Tibetan border),6767,22201,18,5,TRUE,FALSE,FALSE,,Opened in 2014,4,2,,2011,3,PHUG11301,Oct 27,"France, Belgium","Paulo Grobel, Benoit Van Lerberghe",,,
GURA,Guras,,Guras Himal (NE of Nampa on Tibetan border),6744,22126,2,7,TRUE,FALSE,FALSE,,Opened in 2014,4,1,,,0,,,,Unclimbed,,,
THRK,Tharke Kang,Tharke Khang,Khumbu Himal (S of Nup La on Tibetan border),6710,22014,12,2,TRUE,FALSE,FALSE,,Opened in 2014,4,2,,2017,3,THRK17301,Nov 03,"USA, Nepal","Garrett Madison, Kristin Bennett, Lisa Thompson, Ang Phurba Sherpa, Lhakpa Dendi Sherpa, Pasang Dawa Sherpa, Tashi Sherpa",,,
HUGO,Hulang Go,,Peri Himal (WNW of Ratna Chuli on Tibetan border),6687,21939,18,5,TRUE,FALSE,FALSE,,Opened in 2014,5,1,,,0,,,,Unclimbed,,,
SHNW,Shershon Northwest,,Makalu Himal (NW of Shershon on Tibetan border),6682,21923,14,2,TRUE,FALSE,FALSE,,Opened in 2014,4,2,,1980,3,SHNW80301,Oct 15,"UK, France","Doug Scott, Roger Baxter-Jones, Georges Bettembourg",,,
AGLE,Agole East,Angole East,Rolwaling Himal (E of Tengi Ragi Tau),6675,21900,19,2,TRUE,FALSE,FALSE,,Opened in 2014,1,1,,,0,,,,Unclimbed,,,
ROLK,Rolwaling Kang,Rolwaling Khang,Rolwaling Himal (NNE of Tarkago),6664,21864,19,2,TRUE,FALSE,FALSE,,Opened in 2014,1,2,,2016,3,ROLK16301,Oct 19,Japan,"Yasuhiro Hanatani, Yuichiro Iida, Maho Ishio, Yohei Kayama, Keisuke Tsunoda, Takuya Yoshikawa",,,
YARW,Yarwa,,Guras Himal (NW of Nampa on Tibetan border),6644,21798,2,7,TRUE,FALSE,FALSE,,Opened in 2014,1,1,,,0,,,,Unclimbed,,,
YANG,Yangri,Jugal,Jugal Himal (N of Phurbi Chhyachu on Tibetan border),6535,21440,8,3,TRUE,FALSE,FALSE,,Opened in 2014,4,1,,,0,,,,Unclimbed?,Possibly climbed by Carla Maverna and Irene Affentranger in October 1976 (see AAJ 50:518 (1976)),,
LCHN,Lachama North,,Changla Himal (N of Lachama Chuli on Tibetan border),6628,21745,17,7,TRUE,FALSE,FALSE,,Opened in 2014,4,1,,,0,,,,Unclimbed,,,
CHNG,Changdi,,Palchung Himal (SE of Kanti Himal peak on Tibetan border),6623,21729,11,7,TRUE,FALSE,FALSE,,Opened in 2014,4,1,,,0,,,,Unclimbed,,,
GOLD,Goldum Peak,Pangri Goldumba,Jugal Himal (on Tibetan border),6632,21759,8,3,TRUE,FALSE,FALSE,,Opened in 2014,4,1,,,0,,,,Unclimbed,,,
THOC,Thoche Go,,Peri Himal (SE of Cheo Himal on Tibetan border),6602,21660,18,5,TRUE,FALSE,FALSE,,Opened in 2014,4,1,,,0,,,,Unclimbed,,,
KCHS,Kangchung Shar,"Khangchung, Kangcho Shar, UIAA Peak",Khumbu Himal (NE of Gokyo Lake),6063,19892,12,2,TRUE,FALSE,FALSE,,Opened in 2014,1,2,,1984,3,KCHS84301,Nov 01,Yugoslavia,Francek Knez,Ascents reported by Jan Kielkowski: on 1 Nov 1984 by Francek Knez; on 21 Nov 1984 by Trevor Pilling,,
PHUN,Phu Kang North,Phu Khang North,Peri Himal (N of Cheo Himal on Tibetan border),6580,21588,18,5,TRUE,FALSE,FALSE,,Opened in 2014,4,1,,,0,,,,Unclimbed,,,
PTHE,Pethangtse East,,Khumbu Himal (ESE of Pethangtse on Tibetan border),6572,21562,12,2,TRUE,FALSE,FALSE,,Opened in 2014,4,2,,2008,1,PTHE08101,May 16,UK,"Andrew Hughes, Alistair Barnard, Nichcolas Beighton, Chris Fawcett, Daniel Greig-Smith, Benjamin Sherwood",Climbed by British Services Makalu Expedition led by Andrew Hughes,,
PHNG,Phungi,,Peri Himal (SE of Ratna Chuli on Tibetan border),6524,21404,18,5,TRUE,FALSE,FALSE,,Opened in 2014,4,1,,,0,,,,Unclimbed,,,
KNTE,Kanti Himal East,,Kanti Himal (ENE of Kanti Himal on Tibetan border),6516,21378,11,7,TRUE,FALSE,FALSE,,Opened in 2014,4,1,,,0,,,,Unclimbed,,,
JARK,Jarkya,,Manaslu Himal (N of Larkya La on Tibetan border),6473,21237,15,4,TRUE,FALSE,FALSE,,Opened in 2014,4,1,,,0,,,,Unclimbed,,,
MARW,Mariyang West,,Kanti Himal (WSW of Mariyang on Tibetan border),6455,21178,11,7,TRUE,FALSE,FALSE,,Opened in 2014,4,1,,,0,,,,Unclimbed,,,
MAYT,Mayonthang Kang,Mayun Thang Khang,Kanti Himal (NW of Changdi Himal on Tibetan border),6449,21158,11,7,TRUE,FALSE,FALSE,,Opened in 2014,4,1,,,0,,,,Unclimbed,,,
LNJU,Langju,Lajo Dada,Shringi Himal (S of Tobsar),6426,21083,5,4,TRUE,FALSE,FALSE,,Opened in 2014,1,2,,2017,3,LNJU17301,Oct 17,Japan,"Norifumi Fukuda, Kojuro Hagihara, Yudai Suzuki",,,
JYAC,Jyachhung,,Byas Risi Himal (NNW of Nampa on Tibetan border),6338,20794,2,7,TRUE,FALSE,FALSE,,Opened in 2014,4,1,,,0,,,,Unclimbed,,,
GYLA,Gyala,,Manaslu Himal (NNE of Larkya La on Tibetan border),6363,20876,15,4,TRUE,FALSE,FALSE,,Opened in 2014,4,1,,,0,,,,Unclimbed,,,
DOLM,Dolma Khang,Tseringma,Rolwaling Himal (SE of Gaurishankar on Tibetan border),6332,20774,19,2,TRUE,FALSE,FALSE,,Opened in 2014,4,2,,1980,1,DOLM80101,Apr 11,"Australia, Nepal","Graham Brammer, Paul Richards, Shambu Tamang",,,
KAIP,Kaipuchonam,,Kanti Himal (WNW of Changdi on Tibetan border),6329,20764,11,7,TRUE,FALSE,FALSE,,Opened in 2014,4,1,,,0,,,,Unclimbed,,,
LDNG,Langdung,Ripumutse,Rolwaling Himal (WSW of Ripimo Shar on Tibetan border),6326,20755,19,2,TRUE,FALSE,FALSE,,Opened in 2014,4,2,,2017,4,LDNG17401,Dec 20,Nepal,"Nima Tenji Sherpa, Dawa Gyalje Sherpa, Dawa Yangzum Sherpa, Pasang Kitar Sherpa",,,
DZA2,Dzanye II,,Janak Himal (S of Danzye Peak),6318,20728,6,1,TRUE,FALSE,FALSE,,Opened in 2014,4,2,,2015,3,DZA215301,Oct 04,Japan,"Takanori Mashimo, Kotaro Myatsu, Kenta Kimura, Shinnosuke Ashikari, Shun Katsurai, Takehiro Nozawa",,,
PAMA,Pama Himal,,Shringi Himal (N of Chamar on Tibetan border),6300,20669,5,4,TRUE,FALSE,FALSE,,Opened in 2014,4,1,,,0,,,,Unclimbed,,,
PERH,Peri Himal,,Peri Himal (SE of Cheo Himal on Tibetan border),6296,20656,18,5,TRUE,FALSE,FALSE,,Opened in 2014,4,1,,,0,,,,Unclimbed,,,
TAKL,Takla Kang,Takla Khang,Kanti Himal (SSE of Kanti Himal peak on Tibetan border),6276,20591,11,7,TRUE,FALSE,FALSE,,Opened in 2014,4,1,,,0,,,,Unclimbed,,,
KOGI,Kogi Khang North,Kogi Kang North,Kanti Himal (ESE of Kanti Himal peak on Tibetan border),6275,20587,11,7,TRUE,FALSE,FALSE,,Opened in 2014,4,1,,,0,,,,Unclimbed,,,
ASAJ,Asajya Tuppa,,Gorakh Himal (ENE of Simikot on Tibetan border),6265,20554,17,7,TRUE,FALSE,FALSE,,Opened in 2014,4,1,,,0,,,,Unclimbed,,,
KOJS,Kojichuwa South,,Kanti Himal (SW of Kojichuwa Chuli on Tibetan border),6264,20551,11,7,TRUE,FALSE,FALSE,,Opened in 2014,4,1,,,0,,,,Unclimbed,,,
PKAR,Pankar Himal,,Manaslu Himal (ENE of Samagaon on Tibetan border),6264,20551,15,4,TRUE,FALSE,FALSE,,Opened in 2014,4,2,,2018,1,PKAR18101,May 08,Japan,"Yasuhiro Hanatani, Reo Chikara, Ryosuke Matsuyama, Daijo Saito, Tatsuro Sugimoto, Airi Watanabe",,,
SAUL,Saula,,Manaslu Himal (ENE of Samagaon on Tibetan border),6235,20456,15,4,TRUE,FALSE,FALSE,,Opened in 2014,4,1,,,0,,,,Unclimbed,,,
YARA,Yala Chuli,Yara Chuli,Palchung Himal (SE of Changdi on Tibetan border),6236,20459,11,7,TRUE,FALSE,FALSE,,Opened in 2014,4,1,,,0,,,,Unclimbed,,,
RHIM,Rhimbu,,Shringi Himal (S of Tobsar),6210,20374,5,4,TRUE,FALSE,FALSE,,Opened in 2014,1,1,,,0,,,,Unclimbed,,,
SANC,Sanctuary Peak,,Kanjiroba Himal (N of Kanjiroba North),6207,20364,10,7,TRUE,FALSE,FALSE,,Opened in 2014,1,1,,,0,,,,Unclimbed,,,
LASA,Lasa,,Byas Risi Himal (NNW of Nampa on Tibetan border),6189,20305,2,7,TRUE,FALSE,FALSE,,Opened in 2014,4,1,,,0,,,,Unclimbed,,,
PERI,Peri,,Langtang Himal (SE of Langtang Ri on Tibetan border),6174,20256,13,3,TRUE,FALSE,FALSE,,Opened in 2014,4,2,,2016,3,PERI16301,Dec 06,"Italy, Nepal","Werner Frei, Pasang Sherpa, Sandesh Sherpa",,,
